id,socio_id,nombre_plan,objetivo,observaciones,fecha_inicio,fecha_fin,creado_por,created_at,updated_at
b4ad97d3-8f8d-48b4-a213-6c3bfc026bb3,ee59a685-6c32-4181-8315-2fd19df24021,Plan automático - Volumen,Volumen,"{""Cena"": {""descripcion"": ""200gr carne magra, arroz integral""}, ""Almuerzo"": {""descripcion"": ""200gr carne magra, arroz integral, 30gr queso""}, ""Desayuno"": {""descripcion"": ""Tortilla de avena con banana, 200gr avena, 8 claras, 2 yemas, 1 banana, edulcorante, vainilla""}, ""Merienda"": {""descripcion"": ""Media porción de tortilla de avena con banana""}, ""Colación tarde"": {""descripcion"": ""Fruta (banana) + puñado de nueces""}, ""Colación siesta"": {""descripcion"": ""200gr carne magra, arroz integral, 30gr queso""}, ""Colación media mañana"": {""descripcion"": ""1 scoop de proteína con 200ml de leche""}}",2025-08-01,2025-08-31,34cf6017-b7cf-4415-93fd-b6cb238a3df0,2025-08-05T23:45:10.073554,
5d73a1dd-2d3a-4745-bfdf-8dc0ba917de6,7c98af04-31d7-4eff-8f5f-ca6a3bd51253,Plan automático - Definición,Definición,"{""Cena"": {""descripcion"": ""Pescado al horno (150gr) + ensalada cruda + 1/2 taza arroz integral""}, ""Almuerzo"": {""descripcion"": ""150gr pechuga de pollo + ensalada verde + 1 batata (200gr)""}, ""Desayuno"": {""descripcion"": ""Claras revueltas (6) con espinaca + 1 rodaja pan integral + 1 kiwi""}, ""Merienda"": {""descripcion"": ""Infusión + 2 tostadas integrales con queso untable light""}, ""Colación tarde"": {""descripcion"": ""Proteína en agua (1 scoop)""}, ""Colación siesta"": {""descripcion"": ""1 manzana + 1 huevo duro""}, ""Colación media mañana"": {""descripcion"": ""1 yogurt descremado + 10 almendras""}}",2025-08-05,2025-09-05,f1f957ba-1a97-4b0a-aca3-5d68b0e250c0,2025-08-06T00:19:05.381551,
fbc88a65-f23e-464b-81b2-8df460a7fa02,d2140291-55f9-4d5a-9d9a-3cc508a3b203,Plan automático - Volumen,Volumen,"{""Cena"": {""descripcion"": ""200gr carne magra, arroz integral""}, ""Almuerzo"": {""descripcion"": ""200gr carne magra, arroz integral, 30gr queso""}, ""Desayuno"": {""descripcion"": ""Tortilla de avena con banana, 200gr avena, 8 claras, 2 yemas, 1 banana, edulcorante, vainilla""}, ""Merienda"": {""descripcion"": ""Media porción de tortilla de avena con banana""}, ""Colación tarde"": {""descripcion"": ""Fruta (banana) + puñado de nueces""}, ""Colación siesta"": {""descripcion"": ""200gr carne magra, arroz integral, 30gr queso""}, ""Colación media mañana"": {""descripcion"": ""1 scoop de proteína con 200ml de leche""}}",2025-08-07,2025-10-25,c2efe477-02c0-4baf-8875-6add7edb4881,2025-08-07T16:04:43.268622,
